timestamp(ms);HeadAccelerometer.X;HeadAccelerometer.Y;HeadAccelerometer.Z;HeadGyroscope.X;HeadGyroscope.Y;HeadGyroscope.Z;Hand Accelerometer 0.X;Hand Accelerometer 0.Y;Hand Accelerometer 0.Z;Hand Gyroscope 0.X;Hand Gyroscope 0.Y;Hand Gyroscope 0.Z;Hand Accelerometer 1.X;Hand Accelerometer 1.Y;Hand Accelerometer 1.Z;Hand Gyroscope 1.X;Hand Gyroscope 1.Y;Hand Gyroscope 1.Z
741871;0.04828649;-0.05024941;0.03147996;0.58168;303.2268;0.7865493;;;;;;;;;;;;
741871;0.04678608;-0.05382224;0.03178166;0.6783506;303.4428;0.6406872;;;;;;;;;;;;
741871;0.04573821;-0.057211;0.03226051;0.7775084;303.6572;0.4784847;;;;;;;;;;;;
741871;0.04457851;-0.05944337;0.03175209;0.8943313;303.8642;0.3150078;;;;;;;;;;;;
741871;0.04346254;-0.06078312;0.03095351;1.010531;304.0663;0.1540108;;;;;;;;;;;;
741871;0.04250939;-0.06302588;0.03076338;1.144878;304.2641;-0.003222358;;;;;;;;;;;;
741871;0.04208634;-0.06652296;0.03107211;1.292164;304.456;359.8259;;;;;;;;;;;;
741871;0.04114335;-0.07255178;0.03046585;1.414897;304.6503;359.6251;;;;;;;;;;;;
741871;0.04026207;-0.079656;0.0294824;1.547279;304.8418;359.4151;;;;;;;;;;;;
741871;0.03947711;-0.08632611;0.02993733;1.682264;305.0384;359.1989;;;;;;;;;;;;
741871;0.03861133;-0.09009844;0.03058656;1.825201;305.2159;358.9911;;;;;;;;;;;;
741871;0.03762394;-0.08951778;0.0320589;1.977413;305.3801;358.7809;;;;;;;;;;;;
741871;0.03619068;-0.08360304;0.03470772;2.151957;305.5535;358.6011;;;;;;;;;;;;
741871;0.03443902;-0.07212634;0.03769791;2.339475;305.7235;358.4137;;;;;;;;;;;;
741871;0.03217486;-0.05436022;0.04276175;2.584624;305.8787;358.2282;;;;;;;;;;;;
741871;0.03051144;-0.04088865;0.04633977;2.836568;306.0649;357.9861;;;;;;;;;;;;
741871;0.02922808;-0.03515999;0.0479168;3.092427;306.2684;357.6828;;;;;;;;;;;;
741871;0.02827443;-0.03430736;0.04894315;3.340025;306.4633;357.3349;;;;;;;;;;;;
741871;0.02799378;-0.03471491;0.05001105;3.611478;306.6539;357.0077;;;;;;;;;;;;
741871;0.02759789;-0.03516406;0.0510008;3.863828;306.8534;356.6914;;;;;;;;;;;;
741871;0.02797791;-0.03548542;0.05217657;4.092074;307.0519;356.409;;;;;;;;;;;;
741871;0.02727053;-0.03741122;0.05373629;4.294424;307.2844;356.1307;;;;;;;;;;;;
741871;0.02827287;-0.03929808;0.05433536;4.484089;307.4959;355.8651;;;;;;;;;;;;
741871;0.02863396;-0.03983377;0.05440786;4.689817;307.7162;355.6065;;;;;;;;;;;;
741871;0.02952526;-0.03850213;0.05381088;4.918482;307.9333;355.3585;;;;;;;;;;;;
741871;0.03018134;-0.03819039;0.05198367;5.145165;308.1848;355.1398;;;;;;;;;;;;
741871;0.0311139;-0.04022951;0.049848;5.362706;308.4417;354.9212;;;;;;;;;;;;
741871;0.03182701;-0.04208058;0.04640383;5.582979;308.6913;354.7087;;;;;;;;;;;;
741871;0.03348252;-0.0430185;0.04191273;5.805805;308.9358;354.5313;;;;;;;;;;;;
741871;0.0345823;-0.04380503;0.03806152;6.016475;309.1851;354.3745;;;;;;;;;;;;
741871;0.03563801;-0.04347752;0.03479579;6.205757;309.4302;354.2411;;;;;;;;;;;;
741871;0.03797572;-0.04214929;0.0308525;6.375827;309.67;354.135;;;;;;;;;;;;
741871;0.03929141;-0.04056012;0.02640777;6.547102;309.9209;354.0143;;;;;;;;;;;;
741871;0.04033824;-0.03843141;0.022469;6.70815;310.1654;353.9216;;;;;;;;;;;;
741871;0.04188073;-0.03574569;0.01872395;6.890627;310.4;353.8469;;;;;;;;;;;;
741871;0.04328372;-0.03333192;0.01407113;7.070529;310.6121;353.7645;;;;;;;;;;;;
741871;0.04499841;-0.0311485;0.00934465;7.258783;310.8339;353.7053;;;;;;;;;;;;
741871;0.04752357;-0.03000169;0.004485645;7.447824;311.0382;353.637;;;;;;;;;;;;
741871;0.05010088;-0.0281405;-0.001389251;7.645325;311.2305;353.5616;;;;;;;;;;;;
741871;0.05176807;-0.02647182;-0.005943934;7.848584;311.4151;353.4936;;;;;;;;;;;;
741871;0.05240467;-0.02377388;-0.01110965;8.020121;311.6011;353.4463;;;;;;;;;;;;
741871;0.05397268;-0.02156712;-0.01433093;8.153502;311.7734;353.4124;;;;;;;;;;;;
741871;0.0568848;-0.01644719;-0.01861104;8.250499;311.9406;353.3947;;;;;;;;;;;;
741871;0.05796637;-0.01268494;-0.02175804;8.29796;312.109;353.3616;;;;;;;;;;;;
741871;0.05925211;-0.008269524;-0.02526734;8.327608;312.2737;353.3435;;;;;;;;;;;;
741871;0.06029213;-0.003683259;-0.02875856;8.353114;312.4421;353.3235;;;;;;;;;;;;
741871;0.06124154;-0.001821817;-0.0322179;8.347004;312.5866;353.2909;;;;;;;;;;;;
741871;0.06254569;0.0008930139;-0.03776611;8.343139;312.7243;353.2806;;;;;;;;;;;;
741871;0.06345425;0.001970851;-0.04268822;8.337354;312.8498;353.2798;;;;;;;;;;;;
741871;0.06373774;0.003546869;-0.04729927;8.336936;312.9636;353.2807;;;;;;;;;;;;
741871;0.06416276;0.00587654;-0.05290712;8.329692;313.0706;353.292;;;;;;;;;;;;
741871;0.06529852;0.008467954;-0.05724202;8.314966;313.1659;353.3078;;;;;;;;;;;;
741871;0.06601793;0.01077916;-0.06270674;8.298911;313.2443;353.3409;;;;;;;;;;;;
741871;0.06733459;0.01322906;-0.06821061;8.274208;313.3255;353.3804;;;;;;;;;;;;
741871;0.06698718;0.01472181;-0.07365642;8.235985;313.3915;353.4158;;;;;;;;;;;;
741871;0.06759442;0.01715331;-0.07991025;8.159786;313.4331;353.4628;;;;;;;;;;;;
741871;0.06758239;0.0189505;-0.08488276;8.069828;313.4657;353.5348;;;;;;;;;;;;
741871;0.06846098;0.02088806;-0.09113181;7.973141;313.4739;353.6265;;;;;;;;;;;;
741871;0.06876308;0.02234351;-0.09543864;7.873655;313.4873;353.7391;;;;;;;;;;;;
741871;0.06970625;0.02487401;-0.09868044;7.756241;313.4958;353.9008;;;;;;;;;;;;
