0.072135;0.048733;1;;;;;;;; 
0.043559;0.043729;1;;;;;;;; 
0.011156;0.04498;1;;;;;;;; 
0.032683;0.036011;1;;;;;;;; 
0.060828;0.072925;1;;;;;;;; 
0.060714;0.036346;1;;;;;;;; 
0.036357;0.061433;1;;;;;;;; 
0.102381;0.062035;1;;;;;;;; 
0.053507;0.06737;1;;;;;;;; 
0.041735;0.094761;1;;;;;;;; 
0.009859;0.017047;0;;;;;;;; 
0.00259;0.011492;0;;;;;;;; 
0.00637;0.012208;0;;;;;;;; 
0.003579;0.014731;0;;;;;;;; 
0.006827;0.021611;0;;;;;;;; 
0.010471;0.018411;0;;;;;;;; 
0.005396;0.013568;0;;;;;;;; 
0.010154;0.020257;0;;;;;;;; 
0.052231;0.040455;0;;;;;;;; 
