timestamp(ms);HeadAccelerometer.X;HeadAccelerometer.Y;HeadAccelerometer.Z;HeadGyroscope.X;HeadGyroscope.Y;HeadGyroscope.Z;Hand Accelerometer 0.X;Hand Accelerometer 0.Y;Hand Accelerometer 0.Z;Hand Gyroscope 0.X;Hand Gyroscope 0.Y;Hand Gyroscope 0.Z;Hand Accelerometer 1.X;Hand Accelerometer 1.Y;Hand Accelerometer 1.Z;Hand Gyroscope 1.X;Hand Gyroscope 1.Y;Hand Gyroscope 1.Z
335136;0.03454768;0.003681744;0.01140995;1.533692;311.5645;359.1698;;;;;;;;;;;;
335136;0.03459202;0.005284008;0.01233842;1.464831;311.52;359.1706;;;;;;;;;;;;
335136;0.03404423;0.006130482;0.01259453;1.386875;311.4982;359.1416;;;;;;;;;;;;
335136;0.03367245;0.006363336;0.01333252;1.29184;311.4697;359.1248;;;;;;;;;;;;
335136;0.0339178;0.006324025;0.01322099;1.210072;311.4512;359.1095;;;;;;;;;;;;
335136;0.03465538;0.006310629;0.0132342;1.135979;311.4114;359.0745;;;;;;;;;;;;
335136;0.03498292;0.005986551;0.01345978;1.07644;311.3781;359.0694;;;;;;;;;;;;
335136;0.03563593;0.005160446;0.01275692;1.016959;311.3467;359.0292;;;;;;;;;;;;
335136;0.03641528;0.004298185;0.01270198;0.9466298;311.3211;358.9787;;;;;;;;;;;;
335136;0.03713622;0.00415849;0.012874;0.8786904;311.2902;358.9422;;;;;;;;;;;;
335136;0.03812555;0.004458043;0.01330452;0.7998087;311.2568;358.8834;;;;;;;;;;;;
335136;0.03882823;0.004866801;0.01347996;0.7210987;311.2426;358.8217;;;;;;;;;;;;
335136;0.04018475;0.004807664;0.01308319;0.6233572;311.2375;358.7478;;;;;;;;;;;;
335136;0.04132019;0.005333732;0.01291093;0.5291426;311.2322;358.6796;;;;;;;;;;;;
335136;0.04223623;0.005768647;0.01293077;0.4239289;311.2189;358.6098;;;;;;;;;;;;
335136;0.0435133;0.006690248;0.01273053;0.3194806;311.2125;358.545;;;;;;;;;;;;
335136;0.0448662;0.007098449;0.01193891;0.2218436;311.2109;358.4533;;;;;;;;;;;;
335136;0.0460106;0.008273426;0.011515;0.1260624;311.2234;358.368;;;;;;;;;;;;
335136;0.04762256;0.008873559;0.01170519;0.006608742;311.2245;358.2695;;;;;;;;;;;;
335136;0.04860977;0.009746285;0.01118322;359.8989;311.2635;358.1527;;;;;;;;;;;;
335136;0.04975576;0.01047177;0.01150786;359.7712;311.2845;358.0479;;;;;;;;;;;;
335136;0.05061477;0.01104037;0.01102057;359.6549;311.3359;357.9223;;;;;;;;;;;;
335136;0.05170013;0.01128207;0.01063693;359.5439;311.3873;357.7862;;;;;;;;;;;;
335136;0.05252878;0.0110353;0.0103722;359.4181;311.426;357.6811;;;;;;;;;;;;
335136;0.05294009;0.01057749;0.01018691;359.3134;311.488;357.5569;;;;;;;;;;;;
335136;0.05315632;0.01032758;0.009901317;359.1912;311.5446;357.4431;;;;;;;;;;;;
335136;0.05331716;0.01043972;0.01031111;359.092;311.5861;357.3125;;;;;;;;;;;;
335136;0.0530243;0.009794116;0.009736483;358.9935;311.6685;357.1694;;;;;;;;;;;;
335136;0.05322415;0.008737676;0.009763947;358.8816;311.7368;357.0335;;;;;;;;;;;;
335136;0.05310158;0.008403854;0.008764473;358.7838;311.8203;356.8739;;;;;;;;;;;;
335136;0.05286661;0.00789222;0.008704172;358.6825;311.8912;356.7351;;;;;;;;;;;;
335136;0.05276818;0.007641932;0.008511693;358.5825;311.9666;356.575;;;;;;;;;;;;
335136;0.05217794;0.007125903;0.007604674;358.4684;312.0719;356.3986;;;;;;;;;;;;
335136;0.05183749;0.007531646;0.00746361;358.3618;312.148;356.2292;;;;;;;;;;;;
335136;0.05094755;0.007876987;0.007325615;358.2332;312.2454;356.05;;;;;;;;;;;;
335136;0.05090503;0.008740815;0.006350066;358.1151;312.3424;355.8969;;;;;;;;;;;;
335136;0.0498964;0.008935202;0.006433832;357.9771;312.4402;355.7416;;;;;;;;;;;;
335136;0.04892167;0.008852446;0.006570145;357.8441;312.5359;355.5642;;;;;;;;;;;;
335136;0.04786613;0.009681814;0.005370012;357.732;312.6592;355.382;;;;;;;;;;;;
335136;0.04684274;0.009820463;0.004483151;357.5954;312.7759;355.207;;;;;;;;;;;;
335136;0.04603582;0.009855666;0.004076847;357.4721;312.888;355.0331;;;;;;;;;;;;
335136;0.04509133;0.009583233;0.003700428;357.3379;313.0151;354.8496;;;;;;;;;;;;
335136;0.04381073;0.009797228;0.003793438;357.2155;313.129;354.6845;;;;;;;;;;;;
335136;0.0421338;0.01014668;0.002972218;357.123;313.2487;354.5221;;;;;;;;;;;;
335136;0.04037457;0.008949739;0.002212716;357.0109;313.3704;354.3661;;;;;;;;;;;;
335136;0.03795396;0.0078168;0.001421525;356.9264;313.4763;354.2193;;;;;;;;;;;;
335136;0.03520706;0.006197363;0.0007115266;356.8584;313.5985;354.0463;;;;;;;;;;;;
335136;0.03274764;0.00487406;-0.0003926079;356.8015;313.7189;353.8967;;;;;;;;;;;;
335136;0.03040588;0.003010948;-0.001375672;356.7739;313.8342;353.7323;;;;;;;;;;;;
335136;0.02791007;0.00160184;-0.002380521;356.7463;313.9624;353.5896;;;;;;;;;;;;
335136;0.02508908;-0.00009266593;-0.004392162;356.7581;314.0993;353.4427;;;;;;;;;;;;
335136;0.0231164;-0.002065693;-0.005237486;356.7517;314.2359;353.2986;;;;;;;;;;;;
335136;0.02005322;-0.003678707;-0.006562028;356.7908;314.3801;353.1559;;;;;;;;;;;;
335136;0.01789108;-0.004264229;-0.006229105;356.8478;314.5054;353.0325;;;;;;;;;;;;
335136;0.01526873;-0.005366281;-0.006775359;356.8867;314.6567;352.8915;;;;;;;;;;;;
335136;0.01246859;-0.005610792;-0.007415781;356.9477;314.8163;352.7771;;;;;;;;;;;;
335136;0.01059441;-0.005808707;-0.007931783;356.9835;314.9714;352.6815;;;;;;;;;;;;
335136;0.008792505;-0.006587534;-0.007524719;357.015;315.1119;352.6092;;;;;;;;;;;;
335136;0.006569123;-0.006603315;-0.008243066;357.0538;315.264;352.5374;;;;;;;;;;;;
335136;0.0047102;-0.006389483;-0.0092026;357.0864;315.407;352.4974;;;;;;;;;;;;
335136;0.002728168;-0.006288103;-0.009578697;357.1024;315.5647;352.4293;;;;;;;;;;;;
335136;0.0009630842;-0.005623333;-0.009730596;357.1451;315.7115;352.3511;;;;;;;;;;;;
335136;-0.0005246091;-0.005741745;-0.0102787;357.1716;315.8614;352.2579;;;;;;;;;;;;
335136;-0.001745368;-0.005462987;-0.01074612;357.2064;316.015;352.1835;;;;;;;;;;;;
335136;-0.00301332;-0.005838053;-0.0113285;357.2393;316.1642;352.1166;;;;;;;;;;;;
335136;-0.004395726;-0.006570394;-0.01189886;357.2737;316.3062;352.0548;;;;;;;;;;;;
335136;-0.005494324;-0.007407989;-0.01251346;357.3362;316.4114;352.0109;;;;;;;;;;;;
335136;-0.006311602;-0.007776887;-0.0136557;357.4044;316.5341;351.978;;;;;;;;;;;;
335136;-0.007492788;-0.008447071;-0.01584384;357.4698;316.6416;351.9405;;;;;;;;;;;;
335136;-0.007498583;-0.008617544;-0.01617164;357.5574;316.7238;351.9094;;;;;;;;;;;;
335136;-0.008258582;-0.00925062;-0.01694075;357.6149;316.8166;351.8742;;;;;;;;;;;;
335136;-0.008268648;-0.008715454;-0.01793938;357.6834;316.9059;351.8355;;;;;;;;;;;;
335136;-0.008715488;-0.008706937;-0.01847997;357.7208;317.0071;351.7798;;;;;;;;;;;;
335136;-0.009430372;-0.007175889;-0.0192925;357.7727;317.0953;351.6922;;;;;;;;;;;;
335136;-0.009633373;-0.006214423;-0.01928079;357.8022;317.1809;351.6332;;;;;;;;;;;;
335136;-0.009336676;-0.005477044;-0.01862778;357.8218;317.2497;351.6018;;;;;;;;;;;;
335136;-0.009666806;-0.004906525;-0.01918544;357.8449;317.3364;351.5556;;;;;;;;;;;;
335136;-0.01042286;-0.004509602;-0.01871345;357.8676;317.4062;351.5078;;;;;;;;;;;;
335136;-0.01033757;-0.00331647;-0.01906423;357.8997;317.4798;351.463;;;;;;;;;;;;
335136;-0.0103131;-0.003169818;-0.01928187;357.9098;317.5433;351.4182;;;;;;;;;;;;
335136;-0.0111151;-0.002687848;-0.02019902;357.9304;317.6142;351.3949;;;;;;;;;;;;
335136;-0.01176379;-0.002973629;-0.02073086;357.9566;317.6779;351.3564;;;;;;;;;;;;
335136;-0.01196157;-0.003723006;-0.02064259;357.9849;317.7296;351.3228;;;;;;;;;;;;
335136;-0.01265315;-0.004043688;-0.02124507;358.0104;317.7785;351.3034;;;;;;;;;;;;
335136;-0.01332408;-0.003870431;-0.02198262;358.0537;317.8326;351.2975;;;;;;;;;;;;
335136;-0.01431924;-0.004396887;-0.02213752;358.0887;317.8618;351.3255;;;;;;;;;;;;
335136;-0.01536333;-0.004516658;-0.02279277;358.1363;317.9004;351.3539;;;;;;;;;;;;
335136;-0.01716847;-0.005209349;-0.02343782;358.175;317.9251;351.4048;;;;;;;;;;;;
335136;-0.01793331;-0.005382782;-0.02382955;358.2275;317.929;351.4566;;;;;;;;;;;;
335136;-0.01865148;-0.005481939;-0.02406548;358.2802;317.9233;351.4966;;;;;;;;;;;;
335136;-0.01984194;-0.005761653;-0.02420875;358.3332;317.9097;351.5275;;;;;;;;;;;;
335136;-0.01973591;-0.006094707;-0.02550474;358.3802;317.8982;351.5656;;;;;;;;;;;;
335136;-0.02067514;-0.006212682;-0.0261535;358.4458;317.8768;351.6169;;;;;;;;;;;;
335136;-0.02183792;-0.00655926;-0.02675072;358.5125;317.8536;351.6459;;;;;;;;;;;;
